participant	condition	fac_1	fac_2	rating	item	context	f1_BAD_0auch_m	f2_BAD_1auch_f	f3_bad_0auch_f	f4_bad_1auch_m	f5_GOOD_1auch_f	f6_GOOD_1auch_m	f7_GOOD_0auch_m	f8_GOOD_1auch_f	f9_good_1auch_f	f10_good_1auch_m	f11_good_0auch_f	f12_good_1auch_m	f13_good_0auch_f	f14_good_1auch_m	f15_good_0auch_m	f16_good_1auch_f
538	cd3_com_+n	com	+n	6	51_cd3_ct13	ct13	1	1	1	1	6	6	6	2	5	6	6	6	6	6	6	6
538	cd4_com_-n	com	-n	6	16_cd4_ct04	ct04	1	1	1	1	6	6	6	2	5	6	6	6	6	6	6	6
538	cd4_com_-n	com	-n	6	44_cd4_ct11	ct11	1	1	1	1	6	6	6	2	5	6	6	6	6	6	6	6
547	cd1_ass_+n	ass	+n	4	21_cd1_ct06	ct06	1	1	4	4	6	6	1	6	1	6	6	2	6	5	3	3
547	cd1_ass_+n	ass	+n	1	49_cd1_ct13	ct13	1	1	4	4	6	6	1	6	1	6	6	2	6	5	3	3
547	cd2_ass_-n	ass	-n	6	14_cd2_ct04	ct04	1	1	4	4	6	6	1	6	1	6	6	2	6	5	3	3
547	cd2_ass_-n	ass	-n	5	42_cd2_ct11	ct11	1	1	4	4	6	6	1	6	1	6	6	2	6	5	3	3
547	cd3_com_+n	com	+n	3	7_cd3_ct02	ct02	1	1	4	4	6	6	1	6	1	6	6	2	6	5	3	3
547	cd3_com_+n	com	+n	6	35_cd3_ct09	ct09	1	1	4	4	6	6	1	6	1	6	6	2	6	5	3	3
547	cd4_com_-n	com	-n	5	28_cd4_ct07	ct07	1	1	4	4	6	6	1	6	1	6	6	2	6	5	3	3
547	cd4_com_-n	com	-n	2	64_cd4_ct16	ct16	1	1	4	4	6	6	1	6	1	6	6	2	6	5	3	3
551	cd1_ass_+n	ass	+n	5	9_cd1_ct03	ct03	3	2	2	2	5	6	5	5	5	6	5	3	5	3	5	5
551	cd1_ass_+n	ass	+n	2	45_cd1_ct12	ct12	3	2	2	2	5	6	5	5	5	6	5	3	5	3	5	5
551	cd2_ass_-n	ass	-n	2	2_cd2_ct01	ct01	3	2	2	2	5	6	5	5	5	6	5	3	5	3	5	5
551	cd2_ass_-n	ass	-n	2	38_cd2_ct10	ct10	3	2	2	2	5	6	5	5	5	6	5	3	5	3	5	5
551	cd3_com_+n	com	+n	5	31_cd3_ct08	ct08	3	2	2	2	5	6	5	5	5	6	5	3	5	3	5	5
551	cd3_com_+n	com	+n	5	59_cd3_ct15	ct15	3	2	2	2	5	6	5	5	5	6	5	3	5	3	5	5
551	cd4_com_-n	com	-n	5	24_cd4_ct06	ct06	3	2	2	2	5	6	5	5	5	6	5	3	5	3	5	5
551	cd4_com_-n	com	-n	5	52_cd4_ct13	ct13	3	2	2	2	5	6	5	5	5	6	5	3	5	3	5	5
558	cd1_ass_+n	ass	+n	2	29_cd1_ct08	ct08	1	1	2	1	6	6	5	5	6	5	6	5	6	5	6	5
558	cd1_ass_+n	ass	+n	2	57_cd1_ct15	ct15	1	1	2	1	6	6	5	5	6	5	6	5	6	5	6	5
558	cd2_ass_-n	ass	-n	2	22_cd2_ct06	ct06	1	1	2	1	6	6	5	5	6	5	6	5	6	5	6	5
558	cd2_ass_-n	ass	-n	2	50_cd2_ct13	ct13	1	1	2	1	6	6	5	5	6	5	6	5	6	5	6	5
558	cd3_com_+n	com	+n	5	15_cd3_ct04	ct04	1	1	2	1	6	6	5	5	6	5	6	5	6	5	6	5
558	cd3_com_+n	com	+n	5	43_cd3_ct11	ct11	1	1	2	1	6	6	5	5	6	5	6	5	6	5	6	5
558	cd4_com_-n	com	-n	6	8_cd4_ct02	ct02	1	1	2	1	6	6	5	5	6	5	6	5	6	5	6	5
558	cd4_com_-n	com	-n	5	36_cd4_ct09	ct09	1	1	2	1	6	6	5	5	6	5	6	5	6	5	6	5
561	cd1_ass_+n	ass	+n	1	25_cd1_ct07	ct07	1	1	1	1	6	6	6	3	6	3	2	6	6	5	6	6
561	cd1_ass_+n	ass	+n	1	61_cd1_ct16	ct16	1	1	1	1	6	6	6	3	6	3	2	6	6	5	6	6
561	cd2_ass_-n	ass	-n	1	18_cd2_ct05	ct05	1	1	1	1	6	6	6	3	6	3	2	6	6	5	6	6
561	cd2_ass_-n	ass	-n	1	54_cd2_ct14	ct14	1	1	1	1	6	6	6	3	6	3	2	6	6	5	6	6
561	cd3_com_+n	com	+n	3	11_cd3_ct03	ct03	1	1	1	1	6	6	6	3	6	3	2	6	6	5	6	6
561	cd3_com_+n	com	+n	4	47_cd3_ct12	ct12	1	1	1	1	6	6	6	3	6	3	2	6	6	5	6	6
561	cd4_com_-n	com	-n	3	4_cd4_ct01	ct01	1	1	1	1	6	6	6	3	6	3	2	6	6	5	6	6
561	cd4_com_-n	com	-n	5	40_cd4_ct10	ct10	1	1	1	1	6	6	6	3	6	3	2	6	6	5	6	6
590	cd1_ass_+n	ass	+n	2	9_cd1_ct03	ct03	1	2	1	1	6	6	5	4	4	3	5	4	5	4	4	4
590	cd1_ass_+n	ass	+n	4	45_cd1_ct12	ct12	1	2	1	1	6	6	5	4	4	3	5	4	5	4	4	4
590	cd2_ass_-n	ass	-n	1	2_cd2_ct01	ct01	1	2	1	1	6	6	5	4	4	3	5	4	5	4	4	4
590	cd2_ass_-n	ass	-n	1	38_cd2_ct10	ct10	1	2	1	1	6	6	5	4	4	3	5	4	5	4	4	4
590	cd3_com_+n	com	+n	5	31_cd3_ct08	ct08	1	2	1	1	6	6	5	4	4	3	5	4	5	4	4	4
590	cd3_com_+n	com	+n	3	59_cd3_ct15	ct15	1	2	1	1	6	6	5	4	4	3	5	4	5	4	4	4
590	cd4_com_-n	com	-n	3	24_cd4_ct06	ct06	1	2	1	1	6	6	5	4	4	3	5	4	5	4	4	4
590	cd4_com_-n	com	-n	2	52_cd4_ct13	ct13	1	2	1	1	6	6	5	4	4	3	5	4	5	4	4	4
619	cd1_ass_+n	ass	+n	2	21_cd1_ct06	ct06	1	2	2	5	6	5	6	6	6	2	6	6	5	3	6	6
619	cd1_ass_+n	ass	+n	2	49_cd1_ct13	ct13	1	2	2	5	6	5	6	6	6	2	6	6	5	3	6	6
619	cd2_ass_-n	ass	-n	2	14_cd2_ct04	ct04	1	2	2	5	6	5	6	6	6	2	6	6	5	3	6	6
619	cd2_ass_-n	ass	-n	2	42_cd2_ct11	ct11	1	2	2	5	6	5	6	6	6	2	6	6	5	3	6	6
619	cd3_com_+n	com	+n	2	7_cd3_ct02	ct02	1	2	2	5	6	5	6	6	6	2	6	6	5	3	6	6
619	cd3_com_+n	com	+n	2	35_cd3_ct09	ct09	1	2	2	5	6	5	6	6	6	2	6	6	5	3	6	6
